1823,印度野生种茶树,英国人在阿萨姆发现了印度野生种茶树并开始扦插培育,,0
1830,茶叶消费税占比,茶叶消费税占英国国内各项消费税的三分之二。,,1
1838,印度第一批茶叶运抵伦敦,印度第一批茶叶运抵伦敦，并成为了迄今为止欧洲另一茶叶主要来源地之一。,,1
1839,种植红茶,英国人开始在斯里兰卡锡兰尝试种植红茶,,0
1840,用鸦片换茶叶,【用鸦片换茶叶】英国等欧洲国家发动鸦片战争，签订《南京条约》，五道口通商，进一步促进茶叶流通。,,1
1841,下午茶,由贝德福德公爵夫人安娜·玛丽亚（AnnaMaria）引入的下午茶开始在贵族社交圈中风行，意味着红茶中加糖加奶、再配以糕点的饮茶方式成为新的时代风尚。,,1
1843,植物学家,【植物学家】受英国政府委托，植物学家罗伯特·福琼多次乔装进入武夷山茶区，学习中国茶技艺。,,1
1843,建立茶园,英国人用中国茶种在大吉岭种植茶叶，随后逐渐建立了大量在阿萨姆和大吉岭的茶园。,,1
1850,急需正名，正山与外山,【急需正名，正山与外山】武夷茶的火爆造成了福建其他地区的效仿，为区别桐木村和周边地区的茶，就有了“正山”和“外山”的概念,,1
1851,茶叶大盗,【茶叶大盗】第二次来到中国的福琼将武夷山茶树和工人骗到了印度大吉岭,,0
1866,中国茶依然占领市场,中国茶依然占领市场。这个时候，虽然有印度红茶开始销售，可市场比例只有4%,,0
1872,锡兰红茶开始量产,锡兰红茶开始量产，苏伊士运河开通，蒸汽机被应用到茶叶生产中，大大降低了生产成本，茶叶价格被再次降低，在英国成为人人都喝得起的大众饮品。,,1
1876,新的工艺出现,【新的工艺出现】第一台切茶机出现，红碎茶更得到了欧洲市,,0
1886,衰落调零时期的开始,中国茶叶生产的衰落凋零时期的开始，因受到政治、经济方面影响、国际茶叶市场竞争失利，国内茶叶生产近乎停滞。,,1
1896,立顿茶的印刷广告,立顿茶一则刊登在1896年12月18日《图形报》上的印刷广告。报纸上的广告推销这种茶叶来自阳光沐浴下的锡兰，茶叶价格从每磅1先令到1先令7便士不等。,,1
1900,印度也可以产红茶啦,【印度也可以产红茶啦】中国茶叶及制茶技术成功移植至印度，印度茶叶生产兴旺发达并最终扩及全球,,1
1903,突然急转直下的下滑,突然急转直下的下滑。更方便的工艺，更便宜的价格，更大的产量，印度红茶在市场的比例上升到59%。,,1
